AreaID,AreaType,SedimentWeight_g,Hour,Replicate,ApproxWaterVolume_L,ApproximateSedVolume_L,Date,CapTime,SacrificeTime
A1,mussels,14.1,0,1,0.044,0.012,6/1/2023,15:35,16:18
A1,mussels,14.4,6,1,0.044,0.012,6/1/2023,11:03,17:37
A1,mussels,14.3,10,1,0.044,0.012,6/2/2023,9:39,19:36
A1,mussels,14,0,2,0.044,0.012,6/1/2023,15:35,16:22
A1,mussels,14.4,6,2,0.044,0.012,6/1/2023,11:04,17:40
A1,mussels,14.4,10,2,0.044,0.012,6/2/2023,9:39,19:38
A2,mussels,14.4,0,1,0.044,0.012,6/1/2023,15:29,15:59
A2,mussels,14.4,6,1,0.044,0.012,6/1/2023,10:54,17:28
A2,mussels,14.1,10,1,0.044,0.012,6/2/2023,9:34,19:26
A2,mussels,14.5,0,2,0.044,0.012,6/1/2023,15:30,16:03
A2,mussels,14.3,6,2,0.044,0.012,6/1/2023,10:56,17:30
A2,mussels,14.4,10,2,0.044,0.012,6/2/2023,9:35,19:28
A3,mussels,14.2,0,1,0.044,0.012,6/1/2023,15:31,16:08
A3,mussels,14.4,6,1,0.044,0.012,6/1/2023,10:51,17:23
A3,mussels,13.6,10,1,0.044,0.012,6/2/2023,9:35,19:32
A3,mussels,14.1,0,2,0.044,0.012,6/1/2023,15:32,16:09
A3,mussels,14.3,6,2,0.044,0.012,6/1/2023,10:53,17:25
A3,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
A5,mussels,14.4,0,1,0.044,0.012,6/1/2023,15:38,16:30
A5,mussels,14.2,6,1,0.044,0.012,6/1/2023,11:08,17:47
A5,mussels,14.4,10,1,0.044,0.012,6/2/2023,9:41,19:43
A5,mussels,14.1,0,2,0.044,0.012,6/1/2023,15:39,16:32
A5,mussels,14.2,6,2,0.044,0.012,6/1/2023,11:10,17:50
A5,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
A8,mussels,14.4,0,1,0.044,0.012,6/1/2023,15:40,16:35
A8,mussels,14.2,6,1,0.044,0.012,6/1/2023,11:12,17:52
A8,mussels,14.2,10,1,0.044,0.012,6/2/2023,9:42,19:45
A8,mussels,14.5,0,2,0.044,0.012,6/1/2023,15:41,16:37
A8,mussels,14.5,6,2,0.044,0.012,6/1/2023,11:13,17:54
A8,mussels,14.4,10,2,0.044,0.012,6/2/2023,9:43,19:47
C1,mussels,14.2,0,1,0.044,0.012,6/1/2023,19:07,19:30
C1,mussels,14.2,6,1,0.044,0.012,6/1/2023,11:34,18:29
C1,mussels,14.4,10,1,0.044,0.012,6/2/2023,9:50,20:09
C1,mussels,14.1,0,2,0.044,0.012,6/1/2023,19:08,19:32
C1,mussels,14.4,6,2,0.044,0.012,6/1/2023,11:35,18:31
C1,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
C3,mussels,14.4,0,1,0.044,0.012,6/1/2023,19:09,19:34
C3,mussels,14.2,6,1,0.044,0.012,6/1/2023,11:36,18:34
C3,mussels,14.3,10,1,0.044,0.012,6/2/2023,9:51,20:11
C3,mussels,14.1,0,2,0.044,0.012,6/1/2023,19:10,19:36
C3,mussels,14.3,6,2,0.044,0.012,6/1/2023,11:38,18:36
C3,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
C4,mussels,14.3,0,1,0.044,0.012,6/1/2023,19:11,19:38
C4,mussels,14.3,6,1,0.044,0.012,6/1/2023,11:42,18:38
C4,mussels,14.2,10,1,0.044,0.012,6/2/2023,9:51,20:12
C4,mussels,14.4,0,2,0.044,0.012,6/1/2023,19:12,19:41
C4,mussels,14.4,6,2,0.044,0.012,6/1/2023,11:40,18:40
C4,mussels,14,10,2,0.044,0.012,6/2/2023,9:52,20:14
L10,mussels,14.4,0,1,0.044,0.012,6/1/2023,15:45,16:49
L10,mussels,14.4,6,1,0.044,0.012,6/1/2023,11:20,18:07
L10,mussels,14.4,10,1,0.044,0.012,6/2/2023,9:46,20:00
L10,mussels,14.3,0,2,0.044,0.012,6/1/2023,15:46,16:51
L10,mussels,14.3,6,2,0.044,0.012,6/1/2023,11:21,18:09
L10,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
L4,mussels,14.3,0,1,0.044,0.012,6/1/2023,19:05,19:26
L4,mussels,14.3,6,1,0.044,0.012,6/1/2023,11:32,18:24
L4,mussels,14.4,10,1,0.044,0.012,6/2/2023,9:49,20:07
L4,mussels,14.5,0,2,0.044,0.012,6/1/2023,19:06,19:28
L4,mussels,14.3,6,2,0.044,0.012,6/1/2023,11:33,18:26
L4,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
L6,mussels,14.3,0,1,0.044,0.012,6/1/2023,19:03,19:22
L6,mussels,14.1,6,1,0.044,0.012,6/1/2023,11:29,18:20
L6,mussels,14.4,10,1,0.044,0.012,6/2/2023,9:48,20:05
L6,mussels,14.2,0,2,0.044,0.012,6/1/2023,19:04,19:24
L6,mussels,14.2,6,2,0.044,0.012,6/1/2023,11:30,18:22
L6,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
L7,mussels,14.2,0,1,0.044,0.012,6/1/2023,19:01,19:18
L7,mussels,14.3,6,1,0.044,0.012,6/1/2023,11:26,18:15
L7,mussels,14.3,10,1,0.044,0.012,6/2/2023,9:48,20:02
L7,mussels,14.5,0,2,0.044,0.012,6/1/2023,19:02,19:21
L7,mussels,14.5,6,2,0.044,0.012,6/1/2023,11:27,18:17
L7,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
L9,mussels,14.4,0,1,0.044,0.012,6/1/2023,15:47,16:53
L9,mussels,14.3,6,1,0.044,0.012,6/1/2023,11:23,18:11
L9,mussels,14,10,1,0.044,0.012,6/2/2023,9:42,19:57
L9,mussels,14.1,0,2,0.044,0.012,6/1/2023,15:48,16:55
L9,mussels,14.5,6,2,0.044,0.012,6/1/2023,11:24,18:13
L9,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
N1,mussels,14.4,0,1,0.044,0.012,6/1/2023,15:28,15:50
N1,mussels,14.5,6,1,0.044,0.012,6/1/2023,10:57,17:17
N1,mussels,14,10,1,0.044,0.012,6/2/2023,9:32,19:21
N1,mussels,14.5,0,2,0.044,0.012,6/1/2023,15:28,15:54
N1,mussels,14.2,6,2,0.044,0.012,6/1/2023,10:59,17:20
N1,mussels,13.1,10,2,0.044,0.012,6/2/2023,9:33,19:24
N10,mussels,14.1,0,1,0.044,0.012,6/1/2023,15:42,16:39
N10,mussels,14.5,6,1,0.044,0.012,6/1/2023,11:14,17:57
N10,mussels,14.2,10,1,0.044,0.012,6/2/2023,9:43,19:49
N10,mussels,14.3,0,2,0.044,0.012,6/1/2023,15:43,16:41
N10,mussels,14.4,6,2,0.044,0.012,6/1/2023,11:16,18:00
N10,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
N5,mussels,14.5,0,1,0.044,0.012,6/1/2023,15:33,16:12
N5,mussels,14.2,6,1,0.044,0.012,6/1/2023,11:00,17:33
N5,mussels,14.2,10,1,0.044,0.012,6/2/2023,9:37,19:34
N5,mussels,14.2,0,2,0.044,0.012,6/1/2023,15:34,16:15
N5,mussels,14.2,6,2,0.044,0.012,6/1/2023,11:01,17:35
N5,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
N6,mussels,14.1,0,1,0.044,0.012,6/1/2023,15:36,16:25
N6,mussels,14.1,6,1,0.044,0.012,6/1/2023,11:06,17:43
N6,mussels,14.2,10,1,0.044,0.012,6/2/2023,9:40,19:40
N6,mussels,14.3,0,2,0.044,0.012,6/1/2023,15:38,16:27
N6,mussels,14.3,6,2,0.044,0.012,6/1/2023,11:07,17:45
N6,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
N7,mussels,14.1,0,1,0.044,0.012,6/1/2023,15:44,16:44
N7,mussels,14.3,6,1,0.044,0.012,6/1/2023,11:17,18:02
N7,mussels,14.1,10,1,0.044,0.012,6/2/2023,9:44,19:52
N7,mussels,14.1,0,2,0.044,0.012,6/1/2023,15:45,16:46
N7,mussels,14.4,6,2,0.044,0.012,6/1/2023,11:18,18:04
N7,mussels,14.4,10,2,0.044,0.012,6/2/2023,9:45,19:55
OA10,cordgrass only,14.2,0,1,0.044,0.012,6/1/2023,15:35,16:24
OA10,cordgrass only,14.1,6,1,0.044,0.012,6/1/2023,11:17,18:03
OA10,cordgrass only,14.1,10,1,0.044,0.012,6/2/2023,9:59,20:36
OA10,cordgrass only,14.1,0,2,0.044,0.012,6/1/2023,15:36,16:26
OA10,cordgrass only,14.2,6,2,0.044,0.012,6/1/2023,11:18,18:05
OA10,cordgrass only,14.1,10,2,0.044,0.012,6/2/2023,10:00,20:38
OA2,cordgrass only,14.1,0,1,0.044,0.012,6/1/2023,15:27,15:50
OA2,cordgrass only,14.1,6,1,0.044,0.012,6/1/2023,11:11,17:43
OA2,cordgrass only,14.5,10,1,0.044,0.012,6/2/2023,9:58,20:36
OA2,cordgrass only,14.2,0,2,0.044,0.012,6/1/2023,15:32,16:21
OA2,cordgrass only,14.2,6,2,0.044,0.012,6/1/2023,11:06,17:45
OA2,cordgrass only,14.3,10,2,0.044,0.012,6/2/2023,9:58,20:35
OA3,cordgrass only,14.1,0,1,0.044,0.012,6/1/2023,15:33,16:12
OA3,cordgrass only,14.2,6,1,0.044,0.012,6/1/2023,11:10,17:48
OA3,cordgrass only,14.2,10,1,0.044,0.012,6/2/2023,9:47,19:59
OA3,cordgrass only,14.1,0,2,0.044,0.012,6/1/2023,15:34,16:16
OA3,cordgrass only,14.1,6,2,0.044,0.012,6/1/2023,11:09,17:51
OA3,cordgrass only,14.2,10,2,0.044,0.012,6/2/2023,9:48,20:02
OA9,cordgrass only,14.2,0,1,0.044,0.012,6/1/2023,15:43,16:51
OA9,cordgrass only,14.3,6,1,0.044,0.012,6/1/2023,10:53,17:17
OA9,cordgrass only,14.3,10,1,0.044,0.012,6/2/2023,9:37,19:44
OA9,cordgrass only,14.5,0,2,0.044,0.012,6/1/2023,15:44,16:54
OA9,cordgrass only,14.3,6,2,0.044,0.012,6/1/2023,10:52,17:21
OA9,cordgrass only,14.5,10,2,0.044,0.012,6/2/2023,9:39,19:46
OC2,cordgrass only,14.4,0,1,0.044,0.012,6/1/2023,19:09,19:36
OC2,cordgrass only,14.3,6,1,0.044,0.012,6/1/2023,11:36,18:36
OC2,cordgrass only,14.4,10,1,0.044,0.012,6/2/2023,9:55,20:22
OC2,cordgrass only,14.5,0,2,0.044,0.012,6/1/2023,19:08,19:39
OC2,cordgrass only,14.5,6,2,0.044,0.012,6/1/2023,11:34,18:39
OC2,cordgrass only,14.4,10,2,0.044,0.012,6/2/2023,9:56,20:25
OC3,cordgrass only,14.4,0,1,0.044,0.012,6/1/2023,19:12,19:45
OC3,cordgrass only,14.5,6,1,0.044,0.012,6/1/2023,11:39,18:45
OC3,cordgrass only,14.4,10,1,0.044,0.012,6/2/2023,9:58,20:31
OC3,cordgrass only,14.3,0,2,0.044,0.012,6/1/2023,19:12,19:47
OC3,cordgrass only,14.3,6,2,0.044,0.012,6/1/2023,11:40,18:47
OC3,cordgrass only,14.3,10,2,0.044,0.012,6/2/2023,9:59,20:33
OC9,cordgrass only,14.1,0,1,0.044,0.012,6/1/2023,19:10,19:41
OC9,cordgrass only,14.1,6,1,0.044,0.012,6/1/2023,11:37,18:41
OC9,cordgrass only,14.1,10,1,0.044,0.012,6/2/2023,9:57,20:27
OC9,cordgrass only,14.4,0,2,0.044,0.012,6/1/2023,19:11,19:43
OC9,cordgrass only,14.2,6,2,0.044,0.012,6/1/2023,11:38,18:43
OC9,cordgrass only,14.4,10,2,0.044,0.012,6/2/2023,9:57,20:29
OL10,cordgrass only,14.2,0,1,0.044,0.012,6/1/2023,15:47,16:57
OL10,cordgrass only,14.5,6,1,0.044,0.012,6/1/2023,11:23,18:13
OL10,cordgrass only,14.5,10,1,0.044,0.012,6/2/2023,9:42,19:37
OL10,cordgrass only,14.2,0,2,0.044,0.012,6/1/2023,15:48,16:59
OL10,cordgrass only,14.5,6,2,0.044,0.012,6/1/2023,11:21,18:15
OL10,cordgrass only,14.3,10,2,0.044,0.012,6/2/2023,9:41,19:39
OL2,cordgrass only,14.3,0,1,0.044,0.012,6/1/2023,19:04,19:27
OL2,cordgrass only,14.1,6,1,0.044,0.012,6/1/2023,11:24,18:24
OL2,cordgrass only,14.2,10,1,0.044,0.012,6/2/2023,9:46,19:56
OL2,cordgrass only,14.1,0,2,0.044,0.012,6/1/2023,19:05,19:29
OL2,cordgrass only,14.3,6,2,0.044,0.012,6/1/2023,11:25,18:26
OL2,cordgrass only,14.2,10,2,0.044,0.012,6/2/2023,9:45,19:53
OL3,cordgrass only,14.3,0,1,0.044,0.012,6/1/2023,19:06,19:31
OL3,cordgrass only,14.5,6,1,0.044,0.012,6/1/2023,11:32,18:32
OL3,cordgrass only,14.3,10,1,0.044,0.012,6/2/2023,9:49,20:16
OL3,cordgrass only,14.2,0,2,0.044,0.012,6/1/2023,19:07,19:33
OL3,cordgrass only,14.5,6,2,0.044,0.012,6/1/2023,11:33,18:34
OL3,cordgrass only,14.3,10,2,0.044,0.012,6/2/2023,9:49,20:19
OL4,cordgrass only,14.3,0,1,0.044,0.012,6/1/2023,19:01,19:18
OL4,cordgrass only,14.1,6,1,0.044,0.012,6/1/2023,11:29,18:28
OL4,cordgrass only,14.5,10,1,0.044,0.012,6/2/2023,9:53,20:05
OL4,cordgrass only,14.4,0,2,0.044,0.012,6/1/2023,19:02,19:21
OL4,cordgrass only,14.5,6,2,0.044,0.012,6/1/2023,11:30,18:30
OL4,cordgrass only,NA,10,2,0.044,0.012,6/2/2023,NA,NA
OL5,cordgrass only,14.2,0,1,0.044,0.012,6/1/2023,15:45,16:58
OL5,cordgrass only,14.3,6,1,0.044,0.012,6/1/2023,11:19,18:08
OL5,cordgrass only,14.3,10,1,0.044,0.012,6/2/2023,9:43,19:48
OL5,cordgrass only,14.2,0,2,0.044,0.012,6/1/2023,15:46,17:00
OL5,cordgrass only,14.2,6,2,0.044,0.012,6/1/2023,11:20,18:10
OL5,cordgrass only,14.1,10,2,0.044,0.012,6/2/2023,9:43,19:50
OL8,cordgrass only,14.4,0,1,0.044,0.012,6/1/2023,19:03,19:23
OL8,cordgrass only,14.1,6,1,0.044,0.012,6/1/2023,11:26,18:21
OL8,cordgrass only,14.2,10,1,0.044,0.012,6/2/2023,9:51,20:10
OL8,cordgrass only,14.2,0,2,0.044,0.012,6/1/2023,19:04,19:25
OL8,cordgrass only,14.2,6,2,0.044,0.012,6/1/2023,11:28,18:17
OL8,cordgrass only,14.1,10,2,0.044,0.012,6/2/2023,9:50,20:13
ON1,cordgrass only,14.5,0,1,0.044,0.012,6/1/2023,15:30,16:04
ON1,cordgrass only,14.2,6,1,0.044,0.012,6/1/2023,11:13,17:53
ON1,cordgrass only,14.5,10,1,0.044,0.012,6/2/2023,9:54,20:22
ON1,cordgrass only,14.5,0,2,0.044,0.012,6/1/2023,15:31,16:08
ON1,cordgrass only,14.4,6,2,0.044,0.012,6/1/2023,11:14,17:56
ON1,cordgrass only,14.5,10,2,0.044,0.012,6/2/2023,9:55,20:24
ON10,cordgrass only,14.1,0,1,0.044,0.012,6/1/2023,15:42,16:37
ON10,cordgrass only,14.2,6,1,0.044,0.012,6/1/2023,10:55,17:23
ON10,cordgrass only,14.2,10,1,0.044,0.012,6/2/2023,9:40,19:41
ON10,cordgrass only,14.3,0,2,0.044,0.012,6/1/2023,15:43,16:49
ON10,cordgrass only,14.5,6,2,0.044,0.012,6/1/2023,10:56,17:25
ON10,cordgrass only,14.1,10,2,0.044,0.012,6/2/2023,9:52,20:00
ON2,cordgrass only,14.3,0,1,0.044,0.012,6/1/2023,15:28,15:55
ON2,cordgrass only,14.4,6,1,0.044,0.012,6/1/2023,11:15,17:58
ON2,cordgrass only,14.1,10,1,0.044,0.012,6/2/2023,9:56,20:26
ON2,cordgrass only,14.3,0,2,0.044,0.012,6/1/2023,15:29,15:59
ON2,cordgrass only,14.2,6,2,0.044,0.012,6/1/2023,11:15,18:00
ON2,cordgrass only,14.1,10,2,0.044,0.012,6/2/2023,9:57,20:31
ON3,cordgrass only,14.4,0,1,0.044,0.012,6/1/2023,15:40,16:35
ON3,cordgrass only,14.2,6,1,0.044,0.012,6/1/2023,11:00,17:33
ON3,cordgrass only,14.1,10,1,0.044,0.012,6/2/2023,9:32,19:21
ON3,cordgrass only,14.3,0,2,0.044,0.012,6/1/2023,15:41,16:38
ON3,cordgrass only,14.3,6,2,0.044,0.012,6/1/2023,11:02,17:35
ON3,cordgrass only,14.3,10,2,0.044,0.012,6/2/2023,9:33,19:24
ON4,cordgrass only,14.2,0,1,0.044,0.012,6/1/2023,15:39,16:41
ON4,cordgrass only,14.3,6,1,0.044,0.012,6/1/2023,11:03,17:38
ON4,cordgrass only,14.1,10,1,0.044,0.012,6/2/2023,9:33,19:27
ON4,cordgrass only,14.1,0,2,0.044,0.012,6/1/2023,15:40,16:44
ON4,cordgrass only,14.5,6,2,0.044,0.012,6/1/2023,11:04,17:40
ON4,cordgrass only,14.3,10,2,0.044,0.012,6/2/2023,9:34,19:29
ON6,cordgrass only,14.4,0,1,0.044,0.012,6/1/2023,15:36,16:29
ON6,cordgrass only,14.3,6,1,0.044,0.012,6/1/2023,10:59,17:29
ON6,cordgrass only,14.3,10,1,0.044,0.012,6/2/2023,9:35,19:32
ON6,cordgrass only,14.5,0,2,0.044,0.012,6/1/2023,15:38,16:32
ON6,cordgrass only,14.2,6,2,0.044,0.012,6/1/2023,10:57,17:30
ON6,cordgrass only,14.5,10,2,0.044,0.012,6/2/2023,9:36,19:34
WB,NA,NA,0,1,0.056,0,6/1/2023,19:13,19:43
WB,NA,NA,6,1,0.056,0,6/1/2023,11:41,18:42
WB,NA,NA,10,1,0.056,0,6/2/2023,9:53,20:16
WB,NA,NA,0,2,0.056,0,6/1/2023,19:13,19:45
WB,NA,NA,6,2,0.056,0,6/1/2023,11:41,18:45
WB,NA,NA,10,2,0.056,0,6/2/2023,9:53,20:19
